X min,X max,Y min,Y max,Image path,Class label
"384773,1","384775,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_0_0.png,GROUND
"384776,1","384778,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_5_0.png,LIVE
"384779,1","384781,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_10_0.png,N/A
"384782,1","384784,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_15_0.png,N/A
"384785,1","384787,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_20_0.png,LIVE
"384788,1","384790,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_25_0.png,N/A
"384791,1","384793,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_30_0.png,N/A
"384794,1","384796,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_35_0.png,N/A
"384797,1","384799,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_40_0.png,N/A
"384800,1","384802,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_45_0.png,N/A
"384803,1","384805,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_50_0.png,N/A
"384806,1","384808,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_55_0.png,N/A
"384809,1","384811,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_60_0.png,N/A
"384812,1","384814,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_65_0.png,N/A
"384815,1","384817,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_70_0.png,N/A
"384818,1","384820,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_75_0.png,N/A
"384821,1","384823,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_80_0.png,N/A
"384824,1","384826,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_85_0.png,N/A
"384827,1","384829,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_90_0.png,N/A
"384830,1","384832,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_95_0.png,N/A
"384833,1","384835,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_100_0.png,N/A
"384836,1","384838,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_105_0.png,N/A
"384839,1","384841,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_110_0.png,N/A
"384842,1","384844,5","38,117,277,000,000,000","3811730,1",tiles_png/tile_115_0.png,N/A
